customer_id,customer_name,segment,city,state,region
CU-100000,John Lopez,Corporate,Houston,TX,West
CU-100001,David Lopez,Consumer,San Diego,CA,East
CU-100002,Sarah Smith,Consumer,Columbus,OH,West
CU-100003,John Rodriguez,Consumer,San Diego,CA,South
CU-100004,Joseph Martinez,Corporate,San Diego,CA,East
CU-100005,Linda Garcia,Corporate,Philadelphia,PA,West
CU-100006,James Johnson,Consumer,San Antonio,TX,South
CU-100007,Patricia Wilson,Corporate,Houston,TX,Central
CU-100008,Joseph Rodriguez,Consumer,Los Angeles,CA,South
CU-100009,Mary Wilson,Home Office,Chicago,IL,Central
CU-100010,Michael Smith,Home Office,San Antonio,TX,West
CU-100011,Michael Wilson,Consumer,San Jose,CA,East
CU-100012,William Davis,Home Office,Fort Worth,TX,Central
CU-100013,Patricia Garcia,Consumer,Philadelphia,PA,Central
CU-100014,Lisa Rodriguez,Home Office,Chicago,IL,West
CU-100015,Joseph Miller,Corporate,Philadelphia,PA,West
CU-100016,Sarah Brown,Consumer,Austin,TX,Central
CU-100017,William Johnson,Consumer,Fort Worth,TX,Central
CU-100018,Elizabeth Miller,Home Office,San Antonio,TX,South
CU-100019,William Williams,Consumer,Phoenix,AZ,Central
CU-100020,Richard Garcia,Consumer,Columbus,OH,West
CU-100021,Elizabeth Johnson,Consumer,Indianapolis,IN,East
CU-100022,Lisa Gonzalez,Home Office,Phoenix,AZ,South
CU-100023,Richard Miller,Home Office,Chicago,IL,South
CU-100024,William Rodriguez,Consumer,Indianapolis,IN,East
CU-100025,William Gonzalez,Home Office,Seattle,WA,Central
CU-100026,Mary Miller,Consumer,Houston,TX,South
CU-100027,William Rodriguez,Consumer,New York,NY,East
CU-100028,Robert Williams,Corporate,San Jose,CA,West
CU-100029,John Martinez,Corporate,Seattle,WA,South
CU-100030,Emma Anderson,Corporate,New York,NY,Central
CU-100031,Sarah Brown,Home Office,San Diego,CA,East
CU-100032,Elizabeth Wilson,Consumer,Chicago,IL,West
CU-100033,Elizabeth Rodriguez,Consumer,Phoenix,AZ,Central
CU-100034,Linda Brown,Home Office,Indianapolis,IN,West
CU-100035,Richard Hernandez,Home Office,San Jose,CA,Central
CU-100036,Joseph Johnson,Consumer,Charlotte,NC,West
CU-100037,James Smith,Home Office,Chicago,IL,West
CU-100038,John Johnson,Home Office,San Diego,CA,East
CU-100039,Michael Anderson,Consumer,San Diego,CA,Central
CU-100040,Jennifer Jones,Home Office,Chicago,IL,South
CU-100041,David Lopez,Home Office,San Antonio,TX,South
CU-100042,Elizabeth Gonzalez,Corporate,San Diego,CA,West
CU-100043,Emma Hernandez,Corporate,Houston,TX,Central
CU-100044,Linda Davis,Home Office,Columbus,OH,East
CU-100045,Sarah Miller,Home Office,Houston,TX,Central
CU-100046,Jennifer Brown,Consumer,Houston,TX,South
CU-100047,Linda Williams,Corporate,Phoenix,AZ,South
CU-100048,Michael Davis,Home Office,San Diego,CA,East
CU-100049,John Johnson,Consumer,Los Angeles,CA,West
